ID,Dir,DNA1,DNA2,DNA3,RNA1,RNA2,RNA3
EKNGUT0018,CW,542,604,859,670,375,509
EKNGUT0019,CCW,373,364,580,413,234,351
EKNGUT0019,CW,709,729,1133,857,458,623
EKNGUT0020,CCW,312,322,543,53,40,48
EKNGUT0020,CW,235,305,406,48,24,41
EKNGUT0024,CCW,386,395,440,272,165,209
EKNGUT0024,CW,342,434,649,567,287,429
EKNGUT0025,CCW,851,902,1466,751,408,644
EKNGUT0025,CW,831,913,1401,641,318,453
EKNGUT0031,CCW,360,424,581,345,176,250
EKNGUT0031,CW,769,864,1329,1079,552,851
EKNGUT0033,CCW,975,998,1572,403,223,198
EKNGUT0033,CW,1215,1263,1923,892,513,529
EKNGUT0035,CCW,1196,1294,2085,1328,743,986
EKNGUT0035,CW,1117,1153,1778,1177,624,855
EKNGUT0040,CCW,763,877,1147,672,453,662
EKNGUT0040,CW,628,615,884,580,303,399
EKNGUT0043,CCW,1279,1361,2232,539,311,358
EKNGUT0043,CW,647,624,1090,660,368,567
EKNGUT0046,CCW,1164,1184,1993,660,380,470
EKNGUT0046,CW,875,970,1428,913,367,545
EKNGUT0051,CCW,775,833,1248,74,42,60
EKNGUT0051,CW,951,1079,1689,34,33,38
EKNGUT0053,CCW,907,917,1423,534,284,437
EKNGUT0053,CW,1091,1198,1868,1456,843,998
EKNGUT0054,CCW,568,609,974,761,429,578
EKNGUT0054,CW,902,844,1437,1556,867,1229
EKNGUT0056,CCW,811,909,1360,559,348,434
EKNGUT0056,CW,397,481,652,201,113,200
EKNGUT0068,CCW,894,896,1346,735,368,480
EKNGUT0068,CW,898,961,1425,1189,617,839
EKNGUT0082,CCW,632,719,1183,122,91,89
EKNGUT0082,CW,839,892,1280,247,69,60
EKNGUT0085,CCW,97,50,63,4,10,2
EKNGUT0085,CW,160,106,97,61,71,66
EKNGUT0091,CCW,754,793,1189,390,185,220
EKNGUT0091,CW,734,823,1239,764,406,527
EKNGUT0097,CCW,1419,1462,2321,828,471,592
EKNGUT0097,CW,904,992,1384,1041,513,814
EKNGUT0100,CCW,666,654,1081,625,300,450
EKNGUT0100,CW,572,648,909,1324,666,972
EKNGUT0105,CCW,1231,1422,2216,180,108,158
EKNGUT0105,CW,1061,1118,1683,97,71,85
EKNGUT0108,CCW,188,305,378,164,76,79
EKNGUT0108,CW,461,451,747,402,222,299
EKNGUT0111,CCW,479,527,873,113,62,90
EKNGUT0111,CW,650,738,1199,821,434,566
EKNGUT0112,CCW,1647,1739,2824,253,113,138
EKNGUT0112,CW,1564,1802,2708,285,152,203
EKNGUT0114,CCW,633,622,1009,341,195,251
EKNGUT0114,CW,710,737,1233,239,116,204
EKNGUT0115,CCW,58,47,97,2,1,0
EKNGUT0115,CW,847,1011,1481,68,54,63
EKNGUT0118,CCW,604,666,1003,271,130,172
EKNGUT0118,CW,692,808,1243,798,380,586
EKNGUT0122,CCW,923,979,1499,160,171,162
EKNGUT0122,CW,707,802,1215,150,72,84
EKNGUT0125,CCW,821,788,1256,122,76,96
EKNGUT0125,CW,796,861,1287,254,138,162
EKNGUT0128,CCW,790,822,1407,648,333,503
EKNGUT0128,CW,1001,1129,1693,988,531,634
EKNGUT0129,CCW,857,880,1381,134,38,115
EKNGUT0129,CW,796,843,1342,170,98,123
EKNGUT0131,CCW,786,819,1316,325,159,220
EKNGUT0131,CW,756,811,1259,795,364,669
EKNGUT0134,CCW,1241,1364,2093,776,417,564
EKNGUT0134,CW,1172,1251,1936,1340,717,933
EKSSAT0006,CCW,755,733,1099,122,67,116
EKSSAT0006,CW,299,554,678,112,182,278
EKSSAT0010,CCW,633,670,969,445,309,549
EKSSAT0010,CW,433,464,690,190,93,228
EKSSAT0022,CCW,859,922,1403,396,279,463
EKSSAT0022,CW,561,630,930,60,48,53
EKSSAT0026,CCW,1200,1229,1923,1811,1122,1754
EKSSAT0026,CW,1029,1175,1663,2192,1239,1933
EKSSAT0029,CCW,1084,1235,1741,363,205,310
EKSSAT0029,CW,858,1014,1345,218,107,166
EKSSAT0030,CCW,1028,1127,1614,821,488,725
EKSSAT0030,CW,692,757,1021,607,356,519
EKSSAT0040,CCW,1158,1223,1929,655,306,651
EKSSAT0040,CW,876,894,1414,1981,1068,1812
EKSSAT0042,CCW,931,911,1467,1009,638,812
EKSSAT0042,CW,773,761,1170,849,479,565
EKSSAT0043,CCW,1095,1151,1651,345,248,375
EKSSAT0043,CW,654,710,997,445,245,327
EKSSAT0049,CCW,1014,1085,1741,214,124,187
EKSSAT0049,CW,809,873,1462,182,112,164
EKSSAT0051,CCW,1052,1031,1554,1562,834,1326
EKSSAT0051,CW,585,687,970,596,327,446
EKSSAT0066,CCW,1399,1554,2402,46,44,46
EKSSAT0066,CW,38,35,64,6,13,6
EKSSAT0084,CCW,28,32,45,3,5,4
EKSSAT0084,CW,472,548,743,354,149,379
EKSSAT0089,CCW,1067,1187,1785,1061,603,940
EKSSAT0089,CW,698,728,1114,387,237,382
EKSSAT0093,CCW,1279,1369,1950,241,141,265
EKSSAT0093,CW,1003,1082,1663,471,201,288
EKSSAT0099,CCW,437,509,701,105,36,73
EKSSAT0099,CW,716,787,1198,214,65,127
EKSSAT0110,CCW,799,887,1297,76,49,67
EKSSAT0110,CW,865,889,1362,414,229,387
EKSSAT0142,CCW,1038,1138,1648,175,105,164
EKSSAT0142,CW,919,1030,1608,498,247,265
EKSSAT0147,CCW,605,678,828,126,70,139
EKSSAT0147,CW,459,466,577,725,397,668
EKSSAT0149,CCW,748,885,1286,372,179,295
EKSSAT0149,CW,407,522,733,877,431,779
EKSSUT0005,CCW,1071,1169,1682,3595,1977,2678
EKSSUT0005,CW,693,812,1070,1563,972,1289
EKSUAE0001,CCW,919,1031,1503,260,156,195
EKSUAE0001,CW,726,758,1216,588,306,349
EKSUAE0002,CCW,961,1079,1593,98,66,94
EKSUAE0002,CW,835,872,1301,647,374,475
EKSUAE0003,CCW,490,489,756,121,60,93
EKSUAE0003,CW,641,821,1050,195,158,270
EKSUAT0001,CCW,1524,1685,2542,2507,1630,2609
EKSUAT0001,CW,723,712,1061,135,79,139
EKSUAT0003,CCW,674,680,1005,137,86,112
EKSUAT0003,CW,365,387,632,421,215,328
EKSUAT0008,CCW,600,708,983,144,71,137
EKSUAT0008,CW,382,513,703,422,216,390
EKSUAT0013,CCW,1239,1374,2120,1002,612,850
EKSUAT0013,CW,1177,1328,2094,2515,1328,1971
EKSUAT0015,CCW,821,960,1379,94,37,90
EKSUAT0015,CW,766,802,1166,791,494,763
EKSUAT0025,CCW,798,819,1255,426,228,358
EKSUAT0025,CW,659,730,1187,950,532,762
EKSUAT0045,CCW,819,923,1158,389,198,386
EKSUAT0045,CW,439,518,724,454,231,456
EKSUAT0050,CCW,915,1010,1579,175,109,93
EKSUAT0050,CW,746,869,1267,1162,706,940
EKSUAT0051,CCW,198,229,350,195,134,143
EKSUAT0051,CW,280,302,478,500,283,449
EKSUAT0054,CCW,899,943,1365,627,330,593
EKSUAT0054,CW,603,658,784,349,158,287
EKSUAT0060,CCW,745,785,1115,126,75,122
EKSUAT0060,CW,579,692,896,251,141,228
EKSUAT0068,CCW,941,956,1584,101,37,75
EKSUAT0068,CW,769,831,1299,726,482,652
EKSUAT0071,CCW,835,924,1382,225,138,230
EKSUAT0071,CW,833,924,1342,2112,1191,1867
EKSUAT0079,CCW,344,520,664,195,99,119
EKSUAT0079,CW,180,181,290,351,197,285
EKSUAT0093,CCW,779,861,1322,258,151,205
EKSUAT0093,CW,691,671,943,650,274,475
EKSUAT0114,CCW,786,844,1191,102,59,90
EKSUAT0114,CW,575,668,967,781,411,627
EKSUAT0118,CCW,980,1036,1415,315,160,201
EKSUAT0118,CW,963,1052,1542,1135,575,971
EKSUAT0131,CCW,926,1124,1575,109,62,102
EKSUAT0131,CW,950,1108,1600,1076,701,869
EKSUAT0136,CCW,719,761,1105,261,108,159
EKSUAT0136,CW,573,657,902,1034,538,785
EKSUAT0138,CCW,1184,1250,1827,1393,868,1261
EKSUAT0138,CW,70,72,118,67,44,63
EKSUAT0140,CCW,667,657,990,352,190,276
EKSUAT0140,CW,553,577,786,97,65,93
EKSUAT0144,CCW,654,710,1020,129,90,118
EKSUAT0144,CW,877,969,1335,6088,3260,5545
EKSUAT0147,CCW,1027,1058,1683,487,270,360
EKSUAT0147,CW,1272,1213,1988,2133,1202,1894
EKSUAT0153,CCW,1126,1159,1864,560,329,379
EKSUAT0153,CW,1086,1119,1714,1659,854,1252
EKSUAT0156,CCW,1021,1150,1698,1304,646,863
EKSUAT0156,CW,803,834,1284,2816,1393,2013
EKSUUT0003,CCW,419,448,605,640,426,440
EKSUUT0003,CW,681,712,964,2860,1592,1687
EKSUUT0005,CCW,25,24,17,12,19,6
EKSUUT0005,CW,346,330,420,64,51,61
EKSUUT0007,CCW,856,926,1380,803,366,555
EKSUUT0007,CW,939,948,1577,1693,840,1129
EKSUUT0008,CCW,560,618,930,1468,870,1164
EKSUUT0008,CW,444,448,711,3538,1703,2423
EKSUUT0019,CCW,707,786,1007,138,50,89
EKSUUT0019,CW,970,969,1425,1139,586,874
EKSUUT0021,CCW,840,875,1282,6540,3813,6044
EKSUUT0021,CW,203,197,252,1686,958,1382
EKSUUT0025,CCW,88,118,152,432,281,416
EKSUUT0025,CW,759,892,1176,3378,1972,2928
EKSUUT0026,CCW,1680,1856,2704,110,40,55
EKSUUT0026,CW,1001,1131,1654,342,170,182
EKSUUT0027,CCW,1027,1024,1624,303,185,256
EKSUUT0027,CW,1333,1478,2320,2676,1286,1785
EKSUUT0030,CCW,1237,1321,1983,133,100,119
EKSUUT0030,CW,775,814,1193,685,370,450
EKSUUT0032,CCW,939,1024,1554,620,309,388
EKSUUT0032,CW,1165,1231,2003,3123,1636,2504
EKSUUT0035,CCW,1225,1259,1877,714,382,560
EKSUUT0035,CW,884,980,1433,1067,627,1034
EKSUUT0037,CCW,927,1009,1562,216,135,238
EKSUUT0037,CW,785,869,1223,247,122,250
EKSUUT0039,CCW,559,643,880,468,265,387
EKSUUT0039,CW,858,874,1271,1333,856,1013
EKSUUT0040,CCW,411,435,577,208,111,189
EKSUUT0040,CW,713,799,1124,442,208,262
EKSUUT0049,CCW,605,671,1014,653,391,555
EKSUUT0049,CW,829,959,1289,1670,941,1091
EKSUUT0055,CCW,1222,1254,2077,3292,1778,2260
EKSUUT0055,CW,982,961,1534,2007,1048,1281
EKSUUT0059,CCW,1218,1322,2052,271,160,177
EKSUUT0059,CW,794,876,1297,2064,1133,1435
EKSUUT0073,CCW,1453,1548,2306,309,191,253
EKSUUT0073,CW,1147,1235,1875,1225,690,950
EKSUUT0077,CCW,716,766,1174,267,153,233
EKSUUT0077,CW,836,860,1348,1256,617,827
EKSUUT0083,CCW,885,959,1382,775,438,550
EKSUUT0083,CW,657,726,1039,802,428,617
EKSUUT0092,CCW,250,288,444,275,141,167
