"logFC.CW","ID","p.CW","logFC.CCW","p.CCW","logFC","call","Size"
-0.297661010864839,"ORF54347",0.000189044205862187,1.09099951824387,0.000932370102898214,0.557672815031681,"Inactive",519
-1.60388113561211,"KUUAE0127",7.06313769661887e-10,1.38628692810906,5.6797687084128e-06,0.557307681628302,"Inactive",271
0.945276759541498,"KSUUT0129",0.00060479809612966,0.0180306649253534,1.28590418102635e-05,0.554900474609598,"Inactive",238
0.699558971798719,"EKNGAT0004",0.632319886103163,0.393814942545174,0.0491291314530608,0.554771219423264,"Inactive",441
-0.795342939471355,"KNGAE0037",4.15122575971676e-10,1.23903864424083,8.61715037543231e-09,0.55415565926195,"Inactive",181
-3.32806204553429,"ORF53737",1.70094781492826e-09,1.50223288321577,5.81432952355416e-07,0.552073963889009,"Inactive",1245
-0.18017826610258,"KNGAT0119",0.0193017515628746,1.03405725530728,0.00775668742558208,0.551082344210865,"Inactive",451
-2.7880279149701,"MYC_E7.1",5.47416407747688e-08,1.47707360652215,0.000575578470209601,0.550220325746938,"Inactive",1431
0.718417914799206,"EKUUAE0016",0.4531620245428,0.35773433877055,0.0674854220694189,0.549318562128388,"Inactive",530
0.854167340737921,"ORF53573",0.163736654487254,0.161619441261054,0.0283819085513641,0.549056545002511,"Inactive",1065
0.610540285129137,"EKNGUT0043",0.922865184763914,0.480598279103198,0.136527641692286,0.547031755138985,"Inactive",448
0.633036955903455,"ORF55425",0.966790212976722,0.454139461191762,0.292812401224131,0.546359396224764,"Inactive",876
-0.645442350187943,"KNGAE0100",8.43790978934814e-10,1.18223281356107,7.58242561585009e-07,0.540311953258305,"Inactive",232
1.01759079656073,"KNGAE0031",0.000446675284396977,-0.196328480303328,2.03546806197229e-09,0.534711142032889,"Inactive",206
-0.0499112218798742,"ORF56689",0.0162994253564701,0.946607196023975,0.0987344481407428,0.532731157907779,"Inactive",1593
0.462422204368643,"EKNGUT0091",0.217591682782169,0.598278066396554,0.846063057040867,0.53194870604745,"Inactive",459
0.252660103297115,"TRE4_0114A",0.0232170419166047,0.764519791391449,0.229480034170298,0.531172473154891,"Inactive",576
0.442346855435167,"ORF71639",0.38410655095332,0.610262320297164,0.93041601941329,0.528746173063692,"Inactive",942
0.600066145975785,"ORF53842",0.890034969336419,0.453183051245001,0.382166406513665,0.528493092232556,"Inactive",894
-0.00528433679443752,"ORF53582",0.00241163493782067,0.91581206880799,0.12019224121113,0.527558127533077,"Inactive",927
1.05186073066687,"KUUUT0078",0.000164797643581772,-0.307655814703864,6.29254013408981e-09,0.526647560191017,"Inactive",183
0.491623819035749,"KNGUT0072",0.131766515106551,0.554550943605911,0.439792686833481,0.523430446645996,"Inactive",205
0.0318622140639853,"KSUAT0022",5.98074368011766e-06,0.888557222334196,0.00483527994621849,0.522886694648329,"Inactive",267
1.17758798929103,"EKSUAT0050",4.00507961807096e-05,-0.730681153890343,5.20582329315544e-08,0.518334796031209,"Inactive",492
0.19457234140921,"NC17",0.0233872754648875,0.782468164711164,0.258215840583314,0.518261145440253,"Inactive",317
0.620671427286836,"KUUUT0118",0.966880875999178,0.404864406390393,0.0406058341168142,0.516799374665699,"Inactive",183
0.534087349443174,"EKNGAT0040",0.447407071618085,0.488219647905531,0.194397832375498,0.511335775366912,"Inactive",446
1.01496326188795,"KNGUT0085",1.83399464347236e-05,-0.27889259000946,4.04395307201271e-09,0.508466622738073,"Inactive",203
0.570479815433545,"EKNGUT0118",0.691902396141324,0.441689649511426,0.184223455105912,0.507521401483429,"Inactive",464
0.452663639803708,"KSSAT0066",0.0489091769541092,0.553421759600522,0.589617080388101,0.50392214197853,"Inactive",181
-0.137519913042786,"NC3",3.17114916843253e-07,0.940291184591749,0.00208943484002833,0.499780122021911,"Inactive",293
-0.522431338443714,"KSSAT0030",9.47399681232682e-12,1.08570011818033,9.48820022008253e-06,0.494980167690401,"Inactive",301
0.464811605909147,"ORF71838",0.275421748127746,0.518173041538875,0.43282016682955,0.491739021781719,"Inactive",384
-0.804332301711842,"ORF56096",9.04405031726757e-06,1.16101651488321,0.000507342713514543,0.48994174760116,"Inactive",633
-0.799741352497797,"KSSAT0069",5.56391054043697e-11,1.15723938874404,2.92246367198848e-05,0.487874569867318,"Inactive",269
1.30023224451393,"KSSAT0089",5.87303252967581e-08,-1.55612591410951,1.24606100444908e-11,0.486842173451842,"Inactive",289
0.329409371329456,"EKNGAT0069",0.016022610096628,0.626542545756167,0.984642017583714,0.485612059530673,"Inactive",495
0.46261508674548,"ORF71943",0.479920823396745,0.507820747661701,0.46754734430808,0.48539497022983,"Inactive",951
0.490573871569321,"ORF53479",0.588954530682261,0.479912262467353,0.467402943088356,0.485252915743012,"Inactive",1014
-1.41860485645539,"ORF53022",5.92453030352335e-06,1.27426699019248,0.000132056421350459,0.481729213820169,"Inactive",1119
-1.50393173429979,"KUUAT0062",8.78453230009335e-12,1.28082263320725,1.88064292201874e-09,0.476312218500633,"Inactive",221
0.868406169190346,"NC20",0.0150589602835011,-0.0657217380645052,9.87319205120466e-05,0.475661894076501,"Inactive",318
0.78364242445982,"PGK",0.377810375396132,0.0775713164052554,0.00619318000996381,0.473377428816482,"Inactive",500
-2.55285251779417,"KSSAT0154",5.50676533210208e-12,1.37747517933347,1.04994203841599e-08,0.469130866800128,"Inactive",221
-0.00798015204720903,"KUUAT0084",4.44497490554214e-06,0.826552159453752,0.0139772941591353,0.468805302552928,"Inactive",161
0.569722892001852,"KNGUT0007",0.559964512793698,0.354215950925175,0.0013177207112991,0.465989685990562,"Inactive",198
0.442369626198497,"KNGAT0138",0.0848203928446857,0.487558817701278,0.153642986407219,0.465141145996301,"Inactive",273
0.10584894302789,"TRE4_0154A",0.00221283587729476,0.74934210082435,0.357190389939591,0.463179597552515,"Inactive",860
0.333116271730879,"ORF56557",0.105016785915943,0.580012039427355,0.7552232523055,0.461839289683497,"Inactive",762
1.31089026748473,"KUUAT0157",4.50479550722715e-09,-1.90567587792282,1.26677217776651e-13,0.458296518417707,"Inactive",190
