Element	DNA1	DNA2	DNA3	Input	RNA1	RNA2	RNA3
KUUAT0006_KSUUT0114	0	3	0	0	0	2	0
KUUAT0006_KSUUT0124	0	2	0	0	0	3	0
KUUAT0006_KUUAE0003	17993	12574	21486	23220	3932	3455	6151
KUUAT0006_KUUAE0004	0	0	0	0	0	0	0
KUUAT0006_KUUAE0005	0	2	0	0	0	1	0
KUUAT0006_KUUAE0010	0	0	0	0	0	0	0
KUUAT0006_KUUAE0017	1	6	0	3	0	1	0
KUUAT0006_KUUAE0024	0	0	0	0	0	4	0
KUUAT0006_KUUAE0034	0	1	0	0	0	0	0
KUUAT0006_KUUAE0051	0	1	0	0	0	1	0
KUUAT0006_KUUAE0071	0	0	0	0	0	0	0
KUUAT0006_KUUAE0100	0	5	0	1	0	1	0
KUUAT0006_KUUAE0102	0	0	0	0	0	0	0
KUUAT0006_KUUAE0106	0	0	0	0	0	0	0
KUUAT0006_KUUAE0129	0	1	0	0	0	1	0
KUUAT0006_KUUAE0147	0	1	0	0	0	0	0
KUUAT0006_KUUAT0104	0	2	0	0	0	3	0
KUUAT0006_KUUUT0012	0	1	0	0	0	2	0
KUUAT0006_KUUUT0015	0	5	0	1	0	2	0
KUUAT0006_KUUUT0020	865	531	894	1159	527	508	677
KUUAT0006_KUUUT0021	0	0	1	0	0	0	0
KUUAT0006_KUUUT0023	0	10	1	1	0	1	0
KUUAT0006_KUUUT0043	0	3	0	0	0	1	0
KUUAT0006_KUUUT0044	0	5	0	2	0	0	0
KUUAT0006_KSUAT0074	0	0	0	0	0	0	0
KUUAT0006_KSUAT0093	0	0	0	0	1	2	0
KUUAT0006_KSUUT0094	0	1	0	0	0	0	0
KUUAT0006_KUUAE0038	0	0	0	0	0	0	0
KUUAT0006_KUUAE0073	0	2	0	0	0	1	0
KUUAT0006_KUUAT0005	0	0	0	0	0	0	0
KUUAT0006_KUUAT0069	0	42	0	0	0	2	0
KUUAT0006_KUUAT0138	0	1	0	0	0	0	0
KUUAT0006_KUUUT0016	0	0	0	0	0	0	0
KUUAT0006_KUUUT0050	0	0	0	0	0	0	0
KUUAT0006_KUUAE0046	0	0	0	0	0	0	0
KUUAT0006_KUUAE0093	0	2	0	1	0	0	0
KUUAT0006_KUUAE0122	4396	2889	3509	5638	154	180	208
KUUAT0006_KUUAE0127	0	1	0	0	0	0	0
KUUAT0006_KUUAT0006	6424	11113	11560	4580	487	401	634
KUUAT0006_KUUAT0010	0	2	0	0	0	1	0
KUUAT0006_KUUAT0023	0	1	0	0	0	0	0
KUUAT0006_KUUAT0119	2	3	0	2	0	0	0
KUUAT0006_KUUAT0123	0	0	0	0	0	0	0
KUUAT0006_KUUUT0013	0	0	0	0	0	0	0
KUUAT0010_KSUUT0003	0	0	0	0	0	0	0
KUUAT0010_KSUUT0008	0	0	0	0	0	0	0
KUUAT0010_KSUUT0025	0	0	0	0	0	0	0
KUUAT0010_KSUUT0100	0	0	0	0	0	0	0
KUUAT0010_KSUUT0114	0	1	0	0	0	0	0
KUUAT0010_KSUUT0124	1	0	0	1	0	0	0
KUUAT0010_KUUAE0003	0	0	0	0	0	0	0
KUUAT0010_KUUAE0004	0	0	0	0	0	0	0
KUUAT0010_KUUAE0005	0	0	0	0	0	0	0
KUUAT0010_KUUAE0010	0	0	0	0	0	0	0
KUUAT0010_KUUAE0017	0	0	0	0	0	0	0
KUUAT0010_KUUAE0024	0	1	0	0	0	0	0
KUUAT0010_KUUAE0034	0	0	0	0	0	0	0
KUUAT0010_KUUAE0051	0	0	0	0	0	0	0
KUUAT0010_KUUAE0071	0	0	0	0	0	0	0
KUUAT0010_KUUAE0100	0	0	0	0	0	0	0
KUUAT0010_KUUAE0102	0	0	0	0	0	0	0
KUUAT0010_KUUAE0106	0	2	0	0	0	1	0
KUUAT0010_KUUAE0129	0	0	0	1	0	0	0
KUUAT0010_KUUAE0147	0	0	0	0	0	0	0
KUUAT0010_KUUAT0104	0	0	0	0	0	0	0
KUUAT0010_KUUUT0012	0	0	0	0	0	0	0
KUUAT0010_KUUUT0015	2606	1547	104	3118	14	445	17
KUUAT0010_KUUUT0020	0	0	0	0	0	0	0
KUUAT0010_KUUUT0021	0	0	0	0	0	0	0
KUUAT0010_KUUUT0023	0	0	0	0	0	0	0
KUUAT0010_KUUUT0043	0	0	0	0	0	0	0
KUUAT0010_KUUUT0044	0	0	0	0	0	0	0
KUUAT0010_KSUAT0074	0	0	0	0	0	0	0
KUUAT0010_KSUAT0093	0	0	0	0	0	0	0
KUUAT0010_KSUUT0094	0	0	0	0	0	0	0
KUUAT0010_KUUAE0038	0	0	0	0	0	0	0
KUUAT0010_KUUAE0073	0	0	0	0	0	0	0
KUUAT0010_KUUAT0005	0	0	0	0	0	0	0
KUUAT0010_KUUAT0069	0	0	0	0	0	0	0
KUUAT0010_KUUAT0138	0	0	0	0	0	0	0
KUUAT0010_KUUUT0016	0	3	0	1	0	2	0
KUUAT0010_KUUUT0050	0	0	0	0	0	0	0
KUUAT0010_KUUAE0046	0	0	0	0	0	0	0
KUUAT0010_KUUAE0093	0	0	0	0	0	0	0
KUUAT0010_KUUAE0122	0	0	0	0	0	0	0
KUUAT0010_KUUAE0127	0	0	0	0	0	0	0
KUUAT0010_KUUAT0006	0	1	0	0	0	0	0
KUUAT0010_KUUAT0010	9271	10059	15127	5861	303	207	366
KUUAT0010_KUUAT0023	0	0	0	0	0	0	0
KUUAT0010_KUUAT0119	0	0	0	0	0	0	0
KUUAT0010_KUUAT0123	0	0	0	1	0	0	0
KUUAT0010_KUUUT0013	0	0	0	0	0	0	0
KUUAT0023_KSUUT0003	0	0	0	1	0	0	0
KUUAT0023_KSUUT0008	0	0	0	0	0	0	0
KUUAT0023_KSUUT0025	0	0	0	0	0	0	0
KUUAT0023_KSUUT0100	0	1	0	1	0	2	0
KUUAT0023_KSUUT0114	0	0	0	0	0	0	0
KUUAT0023_KSUUT0124	12404	6975	7151	14080	996	1729	1434
KUUAT0023_KUUAE0003	0	1	0	0	0	0	0
KUUAT0023_KUUAE0004	0	0	0	0	0	0	0
KUUAT0023_KUUAE0005	0	0	0	0	0	0	0
KUUAT0023_KUUAE0010	1	0	0	0	0	0	0
KUUAT0023_KUUAE0017	0	12	0	1	0	9	0
KUUAT0023_KUUAE0024	0	0	0	0	0	1	0
KUUAT0023_KUUAE0034	0	0	0	0	0	0	0
KUUAT0023_KUUAE0051	0	0	0	0	0	0	0
KUUAT0023_KUUAE0071	1	3	0	0	0	2	1
KUUAT0023_KUUAE0100	0	2	0	0	0	0	0
KUUAT0023_KUUAE0102	0	0	0	0	0	0	0
KUUAT0023_KUUAE0106	0	2	0	0	0	0	0
KUUAT0023_KUUAE0129	0	1	1	0	0	0	0
KUUAT0023_KUUAE0147	0	0	0	0	0	1	0
KUUAT0023_KUUAT0104	0	0	0	0	0	0	0
KUUAT0023_KUUUT0012	0	1	0	0	0	0	0
KUUAT0023_KUUUT0015	0	3	0	2	0	1	0
KUUAT0023_KUUUT0020	0	1	0	0	0	1	0
KUUAT0023_KUUUT0021	0	1	0	0	0	0	0
KUUAT0023_KUUUT0023	6106	3657	4279	6922	1150	1656	1594
KUUAT0023_KUUUT0043	0	0	0	0	0	2	0
KUUAT0023_KUUUT0044	0	3	0	0	0	3	0
KUUAT0023_KSUAT0074	0	0	0	0	0	0	0
KUUAT0023_KSUAT0093	0	4	0	0	0	0	0
KUUAT0023_KSUUT0094	0	0	0	0	0	0	0
KUUAT0023_KUUAE0038	0	0	0	0	0	0	0
KUUAT0023_KUUAE0073	0	0	0	0	0	0	0
KUUAT0023_KUUAT0005	0	0	0	0	0	0	0
KUUAT0023_KUUAT0069	0	0	0	0	0	0	0
KUUAT0023_KUUAT0138	0	1	0	0	0	0	0
KUUAT0023_KUUUT0016	0	1	0	0	0	1	0
KUUAT0023_KUUUT0050	0	0	0	0	0	0	0
KUUAT0023_KUUAE0046	585	347	352	665	72	130	130
KUUAT0023_KUUAE0093	0	0	0	0	0	0	0
KUUAT0023_KUUAE0122	0	10	0	0	0	0	0
KUUAT0023_KUUAE0127	0	2	0	0	0	0	0
KUUAT0023_KUUAT0006	0	17	0	1	0	2	0
KUUAT0023_KUUAT0010	0	0	0	0	0	0	0
KUUAT0023_KUUAT0023	11849	16800	19974	6601	625	489	942
KUUAT0023_KUUAT0119	0	0	0	0	0	0	0
KUUAT0023_KUUAT0123	0	1	0	0	0	0	0
KUUAT0023_KUUUT0013	0	0	0	0	0	0	0
KUUAT0119_KSUUT0003	0	0	0	0	0	3	0
KUUAT0119_KSUUT0008	0	0	0	0	0	0	0
KUUAT0119_KSUUT0025	0	12	0	1	0	2	0
KUUAT0119_KSUUT0100	0	21	0	1	0	3	0
KUUAT0119_KSUUT0114	1	2	0	0	0	0	0
KUUAT0119_KSUUT0124	0	1	0	2	0	0	0
KUUAT0119_KUUAE0003	14421	8806	6465	18187	1472	3928	2615
KUUAT0119_KUUAE0004	0	0	0	0	0	1	0
KUUAT0119_KUUAE0005	0	0	0	2	0	0	0
KUUAT0119_KUUAE0010	0	0	0	0	0	0	0
KUUAT0119_KUUAE0017	1	4	0	1	0	6	0
KUUAT0119_KUUAE0024	0	1	0	0	0	1	0
KUUAT0119_KUUAE0034	0	0	0	0	0	1	0
KUUAT0119_KUUAE0051	0	0	0	0	0	0	0
KUUAT0119_KUUAE0071	1	0	0	0	0	1	0
KUUAT0119_KUUAE0100	0	2	0	0	0	8	0
KUUAT0119_KUUAE0102	0	0	0	0	0	0	0
KUUAT0119_KUUAE0106	0	1	0	0	0	0	0
KUUAT0119_KUUAE0129	0	0	0	0	0	0	0
KUUAT0119_KUUAE0147	0	2	0	0	0	2	0
KUUAT0119_KUUAT0104	0	0	0	0	0	1	1
KUUAT0119_KUUUT0012	0	2	1	1	0	7	0
KUUAT0119_KUUUT0015	70	51	3	81	1	20	0
KUUAT0119_KUUUT0020	0	0	0	0	0	1	0
KUUAT0119_KUUUT0021	0	2	0	0	0	9	0
KUUAT0119_KUUUT0023	1	9	1	1	0	3	0
KUUAT0119_KUUUT0043	2376	1137	66	3279	69	2439	80
KUUAT0119_KUUUT0044	0	2	0	0	0	4	0
KUUAT0119_KSUAT0074	0	1	0	0	0	0	0
KUUAT0119_KSUAT0093	0	3	0	0	0	1	0
KUUAT0119_KSUUT0094	0	0	0	0	0	0	0
KUUAT0119_KUUAE0038	0	0	0	0	0	0	0
KUUAT0119_KUUAE0073	0	2	0	0	0	1	0
KUUAT0119_KUUAT0005	0	0	0	0	0	0	0
KUUAT0119_KUUAT0069	0	14	1	0	0	2	0
KUUAT0119_KUUAT0138	0	0	0	0	0	0	1
KUUAT0119_KUUUT0016	0	0	0	1	0	0	0
KUUAT0119_KUUUT0050	0	1	0	0	0	0	0
KUUAT0119_KUUAE0046	1	0	0	0	0	0	0
KUUAT0119_KUUAE0093	0	0	0	0	0	0	0
KUUAT0119_KUUAE0122	15035	8947	3249	19419	158	787	299
KUUAT0119_KUUAE0127	0	2	0	0	0	2	0
KUUAT0119_KUUAT0006	1	1	0	1	0	0	0
KUUAT0119_KUUAT0010	0	0	0	0	0	1	0
KUUAT0119_KUUAT0023	0	1	0	0	0	0	0
KUUAT0119_KUUAT0119	1531	2220	2639	1207	30	56	74
KUUAT0119_KUUAT0123	0	1	0	0	0	1	0
KUUAT0119_KUUUT0013	0	0	0	0	0	0	0
KUUAT0123_KSUUT0003	1	1	0	0	0	2	0
KUUAT0123_KSUUT0008	0	0	0	0	0	0	0
KUUAT0123_KSUUT0025	0	6	0	0	0	8	0
KUUAT0123_KSUUT0100	3751	2491	2928	4560	741	1152	1053
KUUAT0123_KSUUT0114	13454	7665	3416	16031	464	2443	869
KUUAT0123_KSUUT0124	0	11	1	2	0	1	0
KUUAT0123_KUUAE0003	0	14	0	0	0	1	0
KUUAT0123_KUUAE0004	0	0	0	0	0	0	0
KUUAT0123_KUUAE0005	0	1	0	0	0	4	0
KUUAT0123_KUUAE0010	0	0	0	0	0	0	0
KUUAT0123_KUUAE0017	1	60	2	3	1	49	0
KUUAT0123_KUUAE0024	0	2	0	3	0	11	0
KUUAT0123_KUUAE0034	7025	4161	4266	8893	2791	5577	3922
KUUAT0123_KUUAE0051	1	0	0	0	0	1	0
KUUAT0123_KUUAE0071	0	10	0	1	0	4	0
KUUAT0123_KUUAE0100	1	3	0	0	0	3	0
KUUAT0123_KUUAE0102	1397	849	457	1748	78	252	100
KUUAT0123_KUUAE0106	0	1	0	1	0	1	0
KUUAT0123_KUUAE0129	0	2	0	0	0	0	0
KUUAT0123_KUUAE0147	3414	2311	3768	4232	3707	3954	4576
KUUAT0123_KUUAT0104	0	3	2	2	0	3	0
KUUAT0123_KUUUT0012	0	1	0	1	0	5	0
KUUAT0123_KUUUT0015	2	19	0	1	0	7	0
KUUAT0123_KUUUT0020	0	2	0	0	0	0	0
KUUAT0123_KUUUT0021	0	2	0	0	0	7	0
KUUAT0123_KUUUT0023	6236	4374	5435	7680	895	1292	1469
KUUAT0123_KUUUT0043	0	3	0	0	0	10	0
KUUAT0123_KUUUT0044	0	30	1	1	1	24	1
KUUAT0123_KSUAT0074	0	1	0	0	0	1	0
KUUAT0123_KSUAT0093	0	2	0	1	0	0	0
KUUAT0123_KSUUT0094	3089	1828	1906	4077	1260	2251	1920
KUUAT0123_KUUAE0038	0	0	0	0	0	0	0
KUUAT0123_KUUAE0073	0	9	0	0	0	3	0
KUUAT0123_KUUAT0005	0	0	0	0	0	0	0
KUUAT0123_KUUAT0069	0	9	0	1	0	3	0
KUUAT0123_KUUAT0138	0	0	0	0	0	0	0
KUUAT0123_KUUUT0016	0	6	0	0	0	1	0
KUUAT0123_KUUUT0050	7202	4136	3525	9449	764	1926	1189
KUUAT0123_KUUAE0046	0	5	0	2	0	4	0
KUUAT0123_KUUAE0093	0	1	0	0	0	1	0
KUUAT0123_KUUAE0122	9082	6066	6308	11194	480	654	555
KUUAT0123_KUUAE0127	0	5	0	1	0	1	0
KUUAT0123_KUUAT0006	3080	1984	2372	3737	56	78	84
KUUAT0123_KUUAT0010	0	0	0	0	0	2	0
KUUAT0123_KUUAT0023	0	0	0	0	0	0	0
KUUAT0123_KUUAT0119	0	5	0	0	0	0	0
KUUAT0123_KUUAT0123	1843	2818	3512	1193	185	168	286
KUUAT0123_KUUUT0013	0	0	0	0	0	0	0
KUUUT0013_KSUUT0003	0	0	0	0	0	0	0
KUUUT0013_KSUUT0008	0	0	0	0	0	0	0
KUUUT0013_KSUUT0025	0	0	0	0	0	0	0
KUUUT0013_KSUUT0100	0	0	0	0	0	0	0
KUUUT0013_KSUUT0114	0	0	0	1	0	0	0
KUUUT0013_KSUUT0124	0	0	0	0	0	0	0
KUUUT0013_KUUAE0003	0	2	0	0	0	0	0
KUUUT0013_KUUAE0004	0	0	0	0	0	0	0
KUUUT0013_KUUAE0005	0	0	0	0	0	0	0
KUUUT0013_KUUAE0010	0	0	0	0	0	0	0
KUUUT0013_KUUAE0017	0	0	0	0	0	0	0
KUUUT0013_KUUAE0024	0	0	0	0	0	0	0
KUUUT0013_KUUAE0034	735	293	280	1203	178	325	207
KUUUT0013_KUUAE0051	0	0	0	0	0	1	0
KUUUT0013_KUUAE0071	0	0	0	0	0	0	0
KUUUT0013_KUUAE0100	0	0	0	0	0	0	0
KUUUT0013_KUUAE0102	0	0	0	0	0	0	0
KUUUT0013_KUUAE0106	0	0	0	0	0	0	0
KUUUT0013_KUUAE0129	0	1	0	0	0	0	0
KUUUT0013_KUUAE0147	0	0	0	0	0	0	0
KUUUT0013_KUUAT0104	1	0	0	0	0	0	0
KUUUT0013_KUUUT0012	0	0	0	0	0	0	0
KUUUT0013_KUUUT0015	0	0	0	0	0	1	0
KUUUT0013_KUUUT0020	0	0	0	0	0	0	0
KUUUT0013_KUUUT0021	0	0	0	0	0	2	0
KUUUT0013_KUUUT0023	0	0	0	0	0	0	0
KUUUT0013_KUUUT0043	0	0	0	0	0	0	0
KUUUT0013_KUUUT0044	0	2	0	0	0	0	0
KUUUT0013_KSUAT0074	0	0	0	0	0	0	0
KUUUT0013_KSUAT0093	442	195	126	616	10	25	15
KUUUT0013_KSUUT0094	0	0	0	0	0	0	0
KUUUT0013_KUUAE0038	0	0	0	0	0	0	0
KUUUT0013_KUUAE0073	0	0	0	0	0	0	0
KUUUT0013_KUUAT0005	0	0	0	0	0	0	0
KUUUT0013_KUUAT0069	0	0	0	0	0	0	0
KUUUT0013_KUUAT0138	0	0	0	0	0	1	0
KUUUT0013_KUUUT0016	0	0	0	0	0	0	0
KUUUT0013_KUUUT0050	0	0	0	0	0	0	0
KUUUT0013_KUUAE0046	0	0	0	0	0	0	0
KUUUT0013_KUUAE0093	0	0	0	0	0	0	0
KUUUT0013_KUUAE0122	0	0	0	0	0	0	0
KUUUT0013_KUUAE0127	0	1	0	0	0	0	0
KUUUT0013_KUUAT0006	1177	488	444	1828	16	27	33
KUUUT0013_KUUAT0010	0	0	0	0	0	0	0
KUUUT0013_KUUAT0023	0	0	0	0	0	0	0
KUUUT0013_KUUAT0119	0	0	0	0	0	0	0
KUUUT0013_KUUAT0123	0	0	0	0	0	0	0
KUUUT0013_KUUUT0013	2582	2151	3233	1607	116	69	122
